,Year_approx,Lake_name,Glacier_name,GL_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Lake_type,Transboundary,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Repeat
383,2000.0,Chateboi,Chateboi,Ephemeral,36.84573,73.89904,3680.0,36.25575128013085,74.28681623205922,2357.9821625344352,Ice dammed,0,Pakistan,Gilgit - Baltistan,Gilgit,Missing,Missing,Missing,1
384,2000.0,Khurdopin ,Khurdopin ,Ephemeral,36.344239,75.474953,3482.0,36.463012,74.901382,2450.0,Ice dammed,0,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Missing,Subglacial tunnel,1
385,2000.0,Khurdopin ,Khurdopin ,Ephemeral,36.344239,75.474953,3482.0,36.36508104166666,74.96709620833333,2550.5833333333335,Ice dammed,0,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Missing,Subglacial tunnel,1
386,2000.0,North Terong,North Terong,Ephemeral,35.254,77.308,4400.0,31.86867561077236,79.36755386890243,2989.442073170732,Ice dammed,1,India,Kashmir,Nubra,Glacier advance,Missing,Missing,1
387,2000.0,Merzbacher,Southern Inylshek,GL079841E42200N,42.196,79.847,3271.0,42.46940061764706,74.87776640392157,2214.0254901960784,Ice dammed,0,Kyrgyzstan,Kyrgyzstan,Inylchek,Missing,Missing,Subglacial tunnel,1
388,2000.0,Kuturgansuu,Kuturgansuu,Ephemeral,42.522,74.609,3470.0,42.535,74.658,2170.0,Moraine dammed,0,Kyrgyzstan,Kyrgyzstan,Alamedin,Missing,Missing,Missing,1
389,2000.0,Lokpar/Aling,Lokpar/Aling,Ephemeral,35.497,76.271,3800.0,36.25575128013085,74.28681623205922,2357.9821625344352,Moraine dammed,0,Pakistan,Gilgit - Baltistan,Hushe,Missing,Missing,Missing,1
390,2001.0,Khurdopin ,Khurdopin ,Ephemeral,36.344239,75.474953,3482.0,36.36508104166666,74.96709620833333,2550.5833333333335,Ice dammed,0,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Missing,Subglacial tunnel,1
391,2001.0,Merzbacher,Southern Inylshek,GL079841E42200N,42.196,79.847,3271.0,42.46940061764706,74.87776640392157,2214.0254901960784,Ice dammed,0,Kyrgyzstan,Kyrgyzstan,Inylchek,Missing,Missing,Subglacial tunnel,1
392,2001.0,Chongbaxia Co/ Longjiu Co,Unnamed Glacier in China,GL089745E28211N,28.211108,89.744989,4916.0,28.257,89.627,4576.0,Moraine dammed,0,China,TAR,Nian Chu,Missing,Missing,Missing,0
393,2002.0,Hassanabad,Hassanabad,Ephemeral,36.390545,74.50831,3370.0,36.292162,74.609227,2030.0,Ice dammed,0,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Missing,Missing,1
394,2002.0,Khurdopin ,Khurdopin ,Ephemeral,36.344239,75.474953,3482.0,36.36508104166666,74.96709620833333,2550.5833333333335,Ice dammed,0,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Missing,Subglacial tunnel,1
395,2002.0,Kyagar,Unnamed Glacier in China,GL077181E35675N,35.677371,77.190788,4880.0,37.982034,76.877846,1450.0,Ice dammed,0,China,Xinjiang,Yarkant,Surging glacier,Missing,Missing,1
396,2002.0,North Terong,North Terong,Ephemeral,35.254,77.308,4400.0,31.86867561077236,79.36755386890243,2989.442073170732,Ice dammed,1,India,Kashmir,Nubra,Glacier advance,Missing,Missing,1
397,2002.0,Merzbacher,Southern Inylshek,GL079841E42200N,42.196,79.847,3271.0,42.46940061764706,74.87776640392157,2214.0254901960784,Ice dammed,0,Kyrgyzstan,Kyrgyzstan,Inylchek,Missing,Missing,Subglacial tunnel,1
398,2002.0,Shahdara,Dasht,GL071728E37219N,37.22,71.729,4346.0,37.3,71.783,2600.0,Moraine dammed,0,Tajikistan,Gorno-Badakhshan,Shakhdara,Missing,Missing,Missing,0
399,2002.0,Jialong Co,Jialong,GL085849E28212N,28.213134,85.850819,4369.0,28.19297,85.92412,4075.0,Moraine dammed,1,China,TAR,Poiqu,Missing,Ice avalanche,Missing,1
400,2002.0,Jialong Co,Jialong,GL085849E28212N,28.213134,85.850819,4369.0,28.19297,85.92412,4075.0,Moraine dammed,1,China,TAR,Poiqu,Missing,Missing,Moraine collapse,1
401,2002.0,Unnamed Lake in China,Unnamed Glacier in China,GL085919E28139N,28.14,85.92,4870.0,28.154774,85.920192,4560.0,Moraine dammed,1,China,TAR,Nyalam,Missing,Missing,Missing,0
402,2002.0,Dega Co,Unnamed Glacier in China,GL090621E28453N,28.453,90.621,5280.0,31.737953293750003,87.12621108125,3902.60625,Moraine dammed,1,China,TAR,Luozhaxiongqu,Missing,Ice avalanche,Missing,0
403,2003.0,Merzbacher,Southern Inylshek,GL079841E42200N,42.196,79.847,3271.0,42.46940061764706,74.87776640392157,2214.0254901960784,Ice dammed,0,Kyrgyzstan,Kyrgyzstan,Inylchek,Missing,Missing,Subglacial tunnel,1
404,2003.0,Unnamed Lake in Pakistan,Unnamed Glacier in Pakistan,Ephemeral,36.608,73.881,3706.0,36.09599818181818,73.80901454545454,2070.6363636363635,Moraine dammed,0,Pakistan,Gilgit - Baltistan,Indus,Missing,Missing,Missing,0
405,2003.0,Kuturgansuu,Kuturgansuu,Ephemeral,42.522,74.609,3470.0,42.535,74.658,2170.0,Moraine dammed,0,Kyrgyzstan,Kyrgyzstan,Alamedin,Missing,Missing,Missing,1
406,2003.0,Gongpa-Rangchong,Gongpa-Rangchong,GL076963E34467N,34.467,76.963,5117.0,34.392738,76.758152,2928.0,Moraine dammed,1,India,Ladakh,Indus,Missing,Missing,Missing,0
407,2004.0,Merzbacher,Southern Inylshek,GL079841E42200N,42.196,79.847,3271.0,42.46940061764706,74.87776640392157,2214.0254901960784,Ice dammed,0,Kyrgyzstan,Kyrgyzstan,Inylchek,Missing,Missing,Subglacial tunnel,1
408,2004.0,Halji,Halji,Ephemeral,30.27,81.475,5347.0,30.219,81.514,3706.0,Supraglacial,1,Nepal,Karnali,Humla,Missing,Missing,Missing,1
409,2005.0,Kyagar,Unnamed Glacier in China,GL077181E35675N,35.677371,77.190788,4880.0,37.982034,76.877846,1450.0,Ice dammed,0,China,Xinjiang,Yarkant,Surging glacier,Missing,Missing,1
410,2005.0,Merzbacher,Southern Inylshek,GL079841E42200N,42.196,79.847,3271.0,42.46940061764706,74.87776640392157,2214.0254901960784,Ice dammed,0,Kyrgyzstan,Kyrgyzstan,Inylchek,Missing,Missing,Subglacial tunnel,1
411,2005.0,Sosot,Sosot,GL073196E36026N,36.027,73.196,4485.0,36.163,73.134,2474.0,Moraine dammed,0,Pakistan,Gilgit - Baltistan,Gilgit,Missing,Missing,Missing,1
412,2005.0,Teztor,Teztor,GL079841E42200N,42.5366,74.4273,3606.0,42.58,74.481,2015.0,Moraine dammed,0,Kyrgyzstan,Kyrgyzstan,Ala Archa,Missing,High temperatures,Missing,1
413,2005.0,Dalonggongba,Unnamed Glacier in China,GL096466E29753N,29.752955,96.465935,5059.0,29.766,96.426,4335.0,Moraine dammed,0,China,TAR,Bomi,Missing,Missing,Missing,0
414,2005.0,Brep,Brep,Ephemeral,36.384,72.706,4330.0,36.423,72.647,2440.0,Water pocket,1,Pakistan,Khyber Pakhtunkhwa,Chitral,Missing,Missing,Missing,0
415,2005.0,Unnamed Lake in China,Unnamed Glacier in China,Ephemeral,29.44416667,97.43722222,4818.0,31.737953293750003,87.12621108125,3902.60625,Moraine dammed,0,China,TAR,China,Missing,Missing,Missing,0
416,2006.0,Merzbacher,Southern Inylshek,GL079841E42200N,42.196,79.847,3271.0,42.46940061764706,74.87776640392157,2214.0254901960784,Ice dammed,0,Kyrgyzstan,Kyrgyzstan,Inylchek,Missing,Missing,Subglacial tunnel,1
417,2006.0,Kashka-Suu,Kashka-Suu,GL079841E42200N,41.85897,76.99497,3872.0,41.866,77.043,3018.0,Moraine dammed,0,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Missing,Missing,Subglacial tunnel,0
418,2006.0,Phyang,Phyang,No lake,34.283109,77.565699,5350.0,31.86867561077236,79.36755386890243,2989.442073170732,Moraine dammed,1,India,Ladakh,Indus,Missing,Missing,Ice core thawing,0
419,2006.0,Halji,Halji,Ephemeral,30.27,81.475,5347.0,30.219,81.514,3706.0,Supraglacial,1,Nepal,Karnali,Humla,Missing,Missing,Missing,1
420,2007.0,Merzbacher,Southern Inylshek,GL079841E42200N,42.196,79.847,3271.0,42.46940061764706,74.87776640392157,2214.0254901960784,Ice dammed,0,Kyrgyzstan,Kyrgyzstan,Inylchek,Missing,Missing,Subglacial tunnel,1
