GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Sat_evidence,Ref_scientific,Ref_scientific_full,Ref_other,Remarks
427,2008,2008,5,24,Ghulkin,Ghulkin ,Ephemeral,NA,G074783E36426N,36.420236,74.879432,2692,NA,NA,NA,NA,Supraglacial,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,NA,Intense rainfall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Din et al., 2014)","Din, K., Tariq, S., Mahmood, A., Rasul, G., 2014. Temperature and Precipitation: GLOF Triggering Indicators in Gilgit-Baltistan, Pakistan. Pakistan Journal of Meteorology 10, 20.",NA,NA
428,2008,2008,6,14,Ghulkin,Ghulkin ,Ephemeral,NA,G074783E36426N,36.420236,74.879432,2692,NA,NA,NA,NA,Supraglacial,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,NA,High temperatures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Din et al., 2014)","Din, K., Tariq, S., Mahmood, A., Rasul, G., 2014. Temperature and Precipitation: GLOF Triggering Indicators in Gilgit-Baltistan, Pakistan. Pakistan Journal of Meteorology 10, 20.",NA,NA
433,2008,2008,6,NA,NA,Halji,Ephemeral,NA,G081470E30264N,30.27,81.475,5347,30.219,81.514,3706,Observation,Supraglacial,Y,Y,15_1,11,Nepal,Karnali,Humla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Kropacek et al., 2015)","KropNAcek, J., Neckel, N., Tyrna, B., Holzer, N., Hovden, A., Gourmelen, N., Schneider, C., Buchroithner, M., Hochschild, V., 2015. Repeated glacial lake outburst flood threatening the oldest Buddhist monastery in north-western Nepal. Natural Hazards and Earth System Sciences 15, 2425NA2437. https://doi.org/10.5194/nhess-15-2425-2015",NA,NA
436,2009,2009,7,28,Kyagar,NA,GL077181E35675N,"2, 3, 4",G077158E35562N,35.677371,77.190788,4880,37.982034,76.877846,1450,Observation,Ice dammed,N,Y,14_2,9,China,Xinjiang,Yarkant,Surging glacier,NA,NA,NA,18350000,1470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Hewitt and Liu, 2010; Round et al., 2017; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528NA551. https://doi.org/10.2747/0272-3646.31.6.528; Round, V., Leinss, S., Huss, M., Haemmig, C., Hajnsek, I., 2017. Surge dynamics and lake outbursts of Kyagar Glacier, Karakoram. The Cryosphere 11, 723NA739. https://doi.org/10.5194/tc-11-723-2017; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",NA,Lake area increased between 06/10/2009 and 07/12/2009 and water discharged before 08/04/2009. By 07/28/2009 the peak lake volume before flood 18.35x106 m3 with a lake area 1.08km2.  Peak discharge as Kaqun 1470 m3/s
437,2009,2009,NA,NA,Merzbacher,Southern Inylshek,GL079841E42200N,2,G080193E42063N,42.196,79.847,3271,NA,NA,NA,NA,Ice dammed,N,Y,13_3,3,Kyrgyzstan,NA,Inylchek,NA,NA,Subglacial tunnel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Shangguan et al., 2017)","Shangguan, D., Ding, Y., Liu, S., Xie, Z., Pieczonka, T., Xu, J., Moldobekov, B., 2017. Quick Release of Internal Water Storage in a Glacier Leads to Underestimation of the Hazard Potential of Glacial Lake Outburst Floods From Lake Merzbacher in Central Tian Shan Mountains. Geophysical Research Letters 44, 9786NA9795. https://doi.org/10.1002/2017GL074443",NA,NA
440,2009,2009,7,3,Zhemai Co,NA,GL092343E28015N,"2, 3, 4",G092342E28006N,28.015,92.343,5300,28.032,92.348,4880,Deposit,Moraine dammed,N,N,15_2,12,China,TAR,Cona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Carrivick and Tweed, 2016)","Carrivick, J.L., Tweed, F.S., 2016. A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change 144, 1NA16. https://doi.org/10.1016/j.gloplacha.2016.07.001",NA,NA
441,2009,2009,7,29,Cuoga,NA,GL094001E30829N,"2, 3, 4",G093984E30847N,30.83,94,4737,30.692,93.963,3990,Deposit,Moraine dammed,N,N,13_9,18,China,TAR,Bianba,NA,Ice avalanche,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Destroyed 27kms of road, 6 bridges, 19 cars and motorcycles",NA,NA,NA,NA,"(Wang et al., 2012)","Wang, X., Liu, S., Ding, Y., Guo, W., Jiang, Z., Lin, J., Han, Y., 2012. An approach for estimating the breach probabilities of moraine-dammed lakes in the Chinese Himalayas using remote-sensing data. Natural Hazards and Earth System Sciences 12, 3109NA3122",NA,NA
434,2009,2009,NA,NA,NA,Hinarchi,NULL,NA,G074582E36116N,36.042964,74.570562,2637,36.013842,74.543607,2281,Observation,Supraglacial,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Bagrot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,+,NA,NA,NA,(This study),"Ashraf, A., Naz, R., Mustafa, N., Iqbal, M.B., Ahmad, B., Jawad, A., Ahmad. I., 2015. Updating GLOF Lake Inventory of Northern Pakistan and Establishment of Community Based Early Warning System in Bagrot and Bondo Gol Valleys. Technical Report. Islamabad, Pakistan: Pakistan Agricultural Research Council (PARC).","(Ashraf et al., 2015)",On 11th December 2012 a community exchange documented this event. Hinarchi Glacier burst resulting complete damage to natural forest and agriculture land of villages Bulchi and Chira.
435,2009,2009,3,26,Ghulkin,Ghulkin ,Ephemeral,NA,G074783E36426N,36.420236,74.879432,2692,NA,NA,NA,NA,Supraglacial,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,NA,Intense rainfall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Din et al., 2014)","Din, K., Tariq, S., Mahmood, A., Rasul, G., 2014. Temperature and Precipitation: GLOF Triggering Indicators in Gilgit-Baltistan, Pakistan. Pakistan Journal of Meteorology 10, 20.",NA,NA
438,2009,2009,6,23,NA,Halji,Ephemeral,NA,G081470E30264N,30.27,81.475,5347,30.219,81.514,3706,Observation,Supraglacial,Y,Y,15_1,11,Nepal,Karnali,Humla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Kropacek et al., 2015)","KropNAcek, J., Neckel, N., Tyrna, B., Holzer, N., Hovden, A., Gourmelen, N., Schneider, C., Buchroithner, M., Hochschild, V., 2015. Repeated glacial lake outburst flood threatening the oldest Buddhist monastery in north-western Nepal. Natural Hazards and Earth System Sciences 15, 2425NA2437. https://doi.org/10.5194/nhess-15-2425-2015",NA,NA
